id,open,close,high,low,volume,time
150,1.085,1.08707,1.08816,1.08391,19570,1763975039
149,1.08707,1.08911,1.0902,1.08599,13117,1763975339
148,1.08911,1.09122,1.09231,1.08802,13675,1763975639
147,1.09122,1.09253,1.09362,1.09012,9450,1763975939
146,1.09253,1.09386,1.09495,1.09144,16910,1763976239
145,1.09386,1.09545,1.09654,1.09276,7983,1763976539
144,1.09545,1.09659,1.09769,1.09435,11918,1763976839
143,1.09659,1.09715,1.09825,1.0955,11539,1763977139
142,1.09715,1.0991,1.1002,1.09605,15700,1763977439
141,1.0991,1.10026,1.10136,1.098,16515,1763977739
140,1.10026,1.10106,1.10216,1.09916,6112,1763978039
139,1.10106,1.10184,1.10294,1.09995,6116,1763978339
138,1.10184,1.1034,1.1045,1.10073,6393,1763978639
137,1.1034,1.10459,1.1057,1.1023,6763,1763978939
136,1.10459,1.10671,1.10782,1.10349,19249,1763979239
135,1.10671,1.10755,1.10865,1.10561,7767,1763979539
134,1.10755,1.10895,1.11006,1.10644,9208,1763979839
133,1.10895,1.11015,1.11126,1.10785,7313,1763980139
132,1.11015,1.11199,1.1131,1.10904,10548,1763980439
131,1.11199,1.11327,1.11439,1.11088,5492,1763980739
130,1.11327,1.11424,1.11536,1.11216,10755,1763981039
129,1.11424,1.11583,1.11694,1.11313,14609,1763981339
128,1.11583,1.11712,1.11824,1.11471,17564,1763981639
127,1.11712,1.11789,1.11901,1.116,11035,1763981939
126,1.11789,1.119,1.12012,1.11677,16348,1763982239
125,1.119,1.12055,1.12167,1.11788,16607,1763982539
124,1.12055,1.12216,1.12329,1.11943,7796,1763982839
123,1.12216,1.12287,1.12399,1.12104,19522,1763983139
122,1.12287,1.12505,1.12618,1.12175,15498,1763983439
121,1.12505,1.12726,1.12839,1.12393,10523,1763983739
120,1.12726,1.12942,1.13055,1.12614,19021,1763984039
119,1.12942,1.13058,1.13171,1.12829,19459,1763984339
118,1.13058,1.13137,1.13251,1.12945,12095,1763984639
117,1.13137,1.13351,1.13464,1.13024,8528,1763984939
116,1.13351,1.13572,1.13686,1.13237,17857,1763985239
115,1.13572,1.13647,1.13761,1.13459,5364,1763985539
114,1.13647,1.13796,1.1391,1.13534,9109,1763985839
113,1.13796,1.13974,1.14088,1.13682,7887,1763986139
