id,open,close,high,low,volume,time
150,150.5,150.72762,150.87835,150.3495,9557,1763975039
149,150.72762,150.82809,150.97892,150.57689,10751,1763975339
148,150.82809,150.95365,151.1046,150.67726,11367,1763975639
147,150.95365,151.19783,151.34903,150.8027,11996,1763975939
146,151.19783,151.41604,151.56745,151.04663,19867,1763976239
145,151.41604,151.6366,151.78824,151.26462,12115,1763976539
144,151.6366,151.76642,151.91819,151.48497,5267,1763976839
143,151.76642,151.88463,152.03651,151.61465,14935,1763977139
142,151.88463,152.16099,152.31315,151.73274,5311,1763977439
141,152.16099,152.38484,152.53723,152.00883,12597,1763977739
140,152.38484,152.54674,152.69929,152.23246,13184,1763978039
139,152.54674,152.82632,152.97914,152.39419,13138,1763978339
138,152.82632,153.0712,153.22427,152.67349,19519,1763978639
137,153.0712,153.28356,153.43685,152.91813,13333,1763978939
136,153.28356,153.57881,153.73239,153.13028,18005,1763979239
135,153.57881,153.69113,153.84482,153.42524,19050,1763979539
134,153.69113,153.83957,153.99341,153.53744,17884,1763979839
133,153.83957,153.96247,154.11643,153.68573,11048,1763980139
132,153.96247,154.08223,154.23631,153.8085,14479,1763980439
131,154.08223,154.32772,154.48205,153.92814,8992,1763980739
130,154.32772,154.52193,154.67645,154.17339,6725,1763981039
129,154.52193,154.69729,154.85198,154.36741,13680,1763981339
128,154.69729,154.8788,155.03368,154.54259,18688,1763981639
127,154.8788,155.09874,155.25384,154.72392,12067,1763981939
126,155.09874,155.35872,155.51408,154.94364,16500,1763982239
125,155.35872,155.63573,155.79137,155.20336,6383,1763982539
124,155.63573,155.71634,155.87206,155.4801,10351,1763982839
123,155.71634,155.87585,156.03172,155.56062,19939,1763983139
122,155.87585,156.0851,156.24119,155.71997,11652,1763983439
121,156.0851,156.39684,156.55323,155.92902,10295,1763983739
120,156.39684,156.53692,156.69346,156.24044,14506,1763984039
119,156.53692,156.81302,156.96983,156.38038,9981,1763984339
118,156.81302,156.95224,157.10919,156.6562,19229,1763984639
117,156.95224,157.18875,157.34594,156.79528,7943,1763984939
116,157.18875,157.29326,157.45055,157.03157,14565,1763985239
115,157.29326,157.47025,157.62772,157.13596,18846,1763985539
114,157.47025,157.73618,157.89391,157.31278,12252,1763985839
113,157.73618,157.9707,158.12867,157.57844,6868,1763986139
112,157.9707,158.07477,158.23285,157.81273,19675,1763986439
111,158.07477,158.28305,158.44133,157.9167,5896,1763986739
110,158.28305,158.47593,158.6344,158.12476,12377,1763987039
109,158.47593,158.71279,158.87151,158.31745,8619,1763987339
108,158.71279,158.96878,159.12775,158.55408,9479,1763987639
107,158.96878,159.27936,159.43864,158.80981,18833,1763987939
106,159.27936,159.56193,159.7215,159.12009,11322,1763988239
105,159.56193,159.7496,159.90935,159.40237,7422,1763988539
104,159.7496,159.83174,159.99157,159.58985,7193,1763988839
103,159.83174,160.1251,160.28522,159.67191,5627,1763989139
102,160.1251,160.35682,160.51718,159.96497,11815,1763989439
101,160.35682,160.65627,160.81692,160.19647,18388,1763989739
100,160.65627,160.7935,160.95429,160.49561,12290,1763990039
99,160.7935,160.98242,161.1434,160.63271,19488,1763990339
98,160.98242,161.15777,161.31892,160.82143,12774,1763990639
97,161.15777,161.39518,161.55657,160.99661,11930,1763990939
96,161.39518,161.69508,161.85677,161.23378,15249,1763991239
95,161.69508,161.85538,162.01724,161.53338,7229,1763991539
94,161.85538,162.11836,162.28047,161.69353,18814,1763991839
93,162.11836,162.29771,162.46,161.95624,5654,1763992139
92,162.29771,162.51401,162.67653,162.13541,9954,1763992439
91,162.51401,162.6069,162.76951,162.3515,12099,1763992739
90,162.6069,162.71528,162.878,162.44429,7774,1763993039
89,162.71528,162.87317,163.03604,162.55257,17527,1763993339
88,162.87317,163.07684,163.23991,162.71029,6574,1763993639
87,163.07684,163.34489,163.50824,162.91376,14340,1763993939
86,163.34489,163.5429,163.70644,163.18155,12005,1763994239
85,163.5429,163.83052,163.99435,163.37936,12019,1763994539
84,163.83052,163.91244,164.07635,163.66669,16360,1763994839
83,163.91244,164.21476,164.37898,163.74852,16724,1763995139
